converterSerial,bgswid,objectName,gateway,GW_online,GW_health,GW_last_seen,FWversion,connection,mobile_rssi,disconnects_last_24h,gotVislist,vislistCount,isBinded,inVislist,seenCountToday,see_MBP_reqs,see_MDP_resps,resp_status_ok,conv_error_and_MB_exception
00176213,3037943,Torstraße 208,02000001400075F2,YES,ok,2025-10-14 06:50,3.1.21-vfde-57,mobile,-81,0,YES,47,YES,YES,89,NO,NO,NO,
00176277,2819191,Dossestraße 6,02000001400062F9,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-83,0,YES,5,YES,YES,85,NO,NO,NO,
00176352,2896344,Köpenicker Straße 100,0200000140007610,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-81,1,YES,95,YES,YES,95,NO,NO,NO,
00175884,3004895,Schreinerstraße 52,0200000140006951,YES,ok,2025-10-14 06:52,3.1.21-vfde-59,mobile,-77,0,YES,186,YES,YES,85,NO,NO,NO,
00176169,2900110,Karl-Marx-Allee 70h,02000001400075C6,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-69,0,YES,178,YES,NO
00187583,2796560,Boxhagener Straße 115,0200000140006A1B,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-79,0,YES,46,YES,YES,88,NO,NO,NO,
00176200,2756554,Alte Schönhauser Straße 32a,0200000140007853,YES,ok,2025-10-14 06:52,3.1.21-vfde-59,mobile,-91,4,YES,7,YES,YES,21,NO,NO,NO,
00176116,2819201,Dossestraße 16,02000001400073EF,YES,ok,2025-10-14 06:53,3.1.21-vfde-59,mobile,-87,0,YES,5,YES,YES,86,NO,NO,NO,
00175893,2883438,Holzmarktstraße 54,020000014000782F,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-73,0,YES,6,YES,YES,94,NO,NO,NO,
00176353,2756255,Alte Jakobstraße 46,0200000140007058,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-85,0,YES,89,YES,YES,95,NO,NO,NO,
00176090,24799898,Brunsbütteler Damm 269,020000014000699C,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-79,0,YES,3,YES,YES,96,NO,NO,NO,
00175948,2949618,Mühsamstraße 20,02000001400068C8,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-89,1,YES,530,YES,YES,93,NO,NO,NO,
00176067,2899987,Karl-Liebknecht-Straße 7,02000001400070CD,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-81,2,YES,6,YES,YES,87,NO,NO,NO,
00176337,2941050,Max-Beer-Straße 48,020000014000718F,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-73,2,YES,213,YES,YES,99,NO,NO,NO,
00175974,2936556,Marchlewskistraße 25,02000001400068A7,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-77,1,YES,48,YES,YES,42,NO,NO,NO,
00176026,2987414,Rochowstraße 12,02000001400069C1,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-77,0,YES,313,YES,YES,76,NO,NO,NO,
00176004,8312339,Alexanderstraße 15,0200000140007616,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-69,0,YES,1,YES,YES,93,NO,NO,NO,
00176362,2752329,Alexandrinenstraße 37,02000001400068C1,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-81,0,YES,241,YES,YES,92,NO,NO,NO,
00176023,2865107,Höchste Straße 6,0200000140006A57,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-77,0,YES,71,YES,YES,93,NO,NO,NO,
00176107,2858114,Graudenzer Straße 15c,0200000140006295,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-75,0,YES,262,YES,YES,89,NO,NO,NO,
00176369,2987039,Ritterstraße 44b,02000001400069DA,YES,ok,2025-10-14 06:51,3.1.21-vfde-57,mobile,-71,0,YES,6,YES,YES,87,NO,NO,NO,
00175985,2925703,Lichtenberger Straße 18,0200000140006323,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-79,0,YES,44,YES,YES,95,NO,NO,NO,
00176365,2960571,Oranienstraße 49,02000001400062D2,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-67,7,YES,146,YES,YES,94,NO,NO,NO,
00175931,3027841,Strausberger Straße 39,02000001400074C6,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-67,0,YES,52,YES,YES,97,NO,NO,NO,
00176250,2818093,Dolziger Straße 47,0200000140006289,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-77,1,YES,184,YES,YES,95,NO,NO,NO,
00176268,2843044,Friedrichstraße 106b,02000001400070CC,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-81,0,YES,6,YES,YES,77,NO,NO,NO,
00176301,2819970,Dreysestraße 14,0200000140007210,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-83,0,YES,125,YES,YES,83,NO,NO,NO,
00176328,2972085,Platz der Vereinten Nationen 2,0200000140007298,YES,ok,2025-10-14 06:52,3.1.21-vfde-59,mobile,-71,0,YES,54,YES,YES,87,NO,NO,NO,
00175973,3051638,Weidenweg 64,0200000140006FAE,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-85,0,YES,102,YES,YES,86,NO,NO,NO,
00175907,2964178,Palisadenstraße 35a,0200000140007534,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-73,0,YES,232,YES,YES,91,NO,NO,NO,
00175855,2911273,Kommandantenstraße 52,0700000170030581,YES,ok,2025-10-14 06:52,vfde-59,mobile,,0,YES,63,YES,YES,82,NO,NO,NO,
00187665,2810751,Colbestraße 11,02000001400063F6,YES,ok,2025-10-14 06:53,3.1.21-vfde-59,mobile,-87,0,YES,137,YES,YES,91,NO,NO,NO,
00176082,2942674,Melchiorstraße 40,0200000140007468,YES,ok,2025-10-14 06:53,3.1.21-vfde-59,mobile,-67,0,YES,39,YES,YES,90,NO,NO,NO,
00176307,3027850,Strausberger Straße 48,020000014000730C,YES,ok,2025-10-14 06:48,3.1.21-vfde-59,mobile,-71,0,YES,30,YES,YES,99,NO,NO,NO,
00176076,2828555,Engeldamm 42,0200000140007486,YES,ok,2025-10-14 06:52,3.1.21-vfde-57,mobile,-73,0,YES,9,YES,YES,90,NO,NO,NO,
00175865,3037919,Torstraße 207,02000001400074C0,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-91,2,YES,43,YES,YES,86,NO,NO,NO,
00176047,2896357,Köpenicker Straße 99,020000014000747A,YES,ok,2025-10-14 06:52,3.1.21-vfde-57,mobile,-75,0,YES,84,YES,YES,82,NO,NO,NO,
00176048,2938901,Markgrafenstraße 39,020000014000710D,YES,ok,2025-10-14 06:53,3.1.21-vfde-59,mobile,-73,0,YES,67,YES,YES,85,NO,NO,NO,
00176371,2928462,Linienstraße 79,0200000140006973,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-73,0,YES,322,YES,YES,91,NO,NO,NO,
00176121,2865862,Haberlandweg 2,02000001400073C3,YES,ok,2025-10-14 06:52,3.1.21-vfde-59,mobile,-81,0,YES,2,YES,YES,96,NO,NO,NO,
00176356,2950626,Münzstraße 7,020000014000748C,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-75,0,YES,125,YES,YES,87,NO,NO,NO,
00176080,2944033,Michaelkirchplatz 7,0200000140007825,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-75,0,YES,29,YES,YES,89,NO,NO,NO,
00176338,2942930,Memhardstraße 2,020000014000754F,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-77,0,YES,27,YES,YES,85,NO,NO,NO,
00176309,22715389,Habersaathstraße 4,020000014000726A,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-61,0,YES,4,YES,YES,87,NO,NO,NO,
00187595,2964197,Palisadenstraße 53,07000001700201ED,YES,ok,2025-10-14 06:53,vfde-59,mobile,-87,73,YES,4,YES,YES,75,NO,NO,NO,
